Easting,Northing,Clan,Count,Date,Year,Month,Day,Time
731263,9841492,MR,1,1/29/2013,2013,1,29,6:42
733680,9842334,MR,2,1/29/2013,2013,1,29,7:39
731565,9840700,MR,2,1/29/2013,2013,1,29,8:31
722611,9847004,SN,1,1/29/2013,2013,1,29,17:06
745698,9837678,TW,1,1/30/2013,2013,1,30,18:25
723095,9847130,SN,2,1/31/2013,2013,1,31,18:23
720449,9847591,SN ,2,1/31/2013,2013,1,31,18:36
721079,9847618,SN,2,2/1/2013,2013,2,1,7:06
720795,9847545,SN,2,2/1/2013,2013,2,1,17:37
727585,9841046,SS,2,2/2/2013,2013,2,2,18:07
723044,9846714,SN,2,2/3/2013,2013,2,3,8:50
720618,9847590,SN,2,2/3/2013,2013,2,3,17:41
748574,9838034,TW,2,2/4/2013,2013,2,4,5:54
744801,9838492,TW,1,2/4/2013,2013,2,4,7:11
751530,9837604,TW,1,2/4/2013,2013,2,4,20:22
749351,9834286,TW,1,2/4/2013,2013,2,4,18:11
746762,9836584,TW,5,2/4/2013,2013,2,4,18:28
744665,9839790,TW,2,2/4/2013,2013,2,4,18:59
751279,9837732,TW,1,2/4/2013,2013,2,4,20:38
724473,9846778,SN,1,2/4/2013,2013,2,4,9:02
744267,9839664,TW,2,2/5/2013,2013,2,5,18:53
721097,9847686,SN,2,2/5/2013,2013,2,5,18:47
727064,9842382,SS,2,2/5/2013,2013,2,5,9:03
726912,9842478,SS,1,2/5/2013,2013,2,5,9:45
719940,9838992,HZ,2,2/5/2013,2013,2,5,7:10
718847,9838484,HZ,1,2/5/2013,2013,2,5,7:15
750092,9837624,TW,2,2/6/2013,2013,2,6,18:22
743852,9840260,TW,1,2/7/2013,2013,2,7,7:43
746530,9837867,TW,1,2/7/2013,2013,2,7,7:57
748891,9836184,TW,2,2/7/2013,2013,2,7,17:30
749138,9837259,TW,1,2/7/2013,2013,2,7,19:56
721209,9848004,SN,1,2/7/2013,2013,2,7,17:37
726455,9842450,SS,1,2/7/2013,2013,2,7,18:40
745310,9838783,TW,2,2/8/2013,2013,2,8,17:18
721014,9847052,SN,2,2/8/2013,2013,2,8,7:39
727339,9842004,SS,2,2/8/2013,2013,2,8,18:20
745078,9838174,TW,3,2/9/2013,2013,2,9,6:22
742993,9839344,TW,2,2/9/2013,2013,2,9,6:52
747371,9836013,TW,2,2/9/2013,2013,2,9,17:34
747486,9837786,TW,2,2/9/2013,2013,2,9,18:28
723058,9844836,SN,1,2/9/2013,2013,2,9,19:53
746923,9836849,TW,1,2/10/2013,2013,2,10,17:31
746093,9835422,TW,4,2/10/2013,2013,2,10,18:44
745983,9838501,TW,1,2/10/2013,2013,2,10,21:21
721273,9848480,SN,2,2/10/2013,2013,2,10,17:29
746997,9836480,TW,4,2/11/2013,2013,2,11,7:11
748565,9837620,TW,1,2/11/2013,2013,2,11,8:04
720449,9847591,SN,2,2/11/2013,2013,2,11,16:56
749854,9837324,TW,2,2/12/2013,2013,2,12,17:14
720449,9847591,SN,2,2/12/2013,2013,2,12,17:55
748191,9836445,TW,2,2/13/2013,2013,2,13,7:04
748549,9838088,TW,1,2/13/2013,2013,2,13,20:35
722316,9846906,SN,2,2/13/2013,2013,2,13,17:24
726646,9842620,SS,1,2/13/2013,2013,2,13,8:19
727553,9841770,SS,1,2/13/2013,2013,2,13,17:30
727951,9840632,SS,1,2/13/2013,2013,2,13,17:35
745125,9839178,TW,3,2/14/2013,2013,2,14,5:51
743325,9840279,TW,1,2/14/2013,2013,2,14,7:46
748495,9835094,TW,1,2/14/2013,2013,2,14,18:13
747797,9836633,TW,2,2/15/2013,2013,2,15,17:31
745698,9837678,TW,1,2/16/2013,2013,2,16,6:37
744715,9838554,TW,2,2/16/2013,2013,2,16,7:51
724524,9846124,SN,2,2/16/2013,2013,2,16,5:56
727420,9844122,SS,1,2/16/2013,2013,2,16,17:22
745310,9838783,TW,2,2/17/2013,2013,2,17,17:25
749023,9837516,TW,2,2/18/2013,2013,2,18,5:33
747880,9835456,TW,1,2/18/2013,2013,2,18,18:30
748602,9835650,TW,2,2/18/2013,2013,2,18,18:37
724479,9844916,SN,1,2/18/2013,2013,2,18,5:53
